SchoolName,SchoolID,Address,City,State,Zip,Lat,Lon
McCutcheon,72,4951 US-231,Lafayette,IN,47909,40.3847999913034,-86.9175080815688
Rossville,73,1 Robert Egly Dr,Rossville,IN,46065,40.4150329062616,-86.5948242871983
West Lafayette,74,1105 Grant St,West Lafayette,IN,47906,40.4363621939493,-86.910801113188
Western Boone,75,1205 IN-75,Thorntown,IN,46071,40.0574,-86.619570835415
Argos,76,500 Yearick St,Argos,IN,46501,41.2405609849029,-86.2497453949664
Caston,77,9815 IN-25,Rochester,IN,46975,40.9121216760227,-86.2833701665399
Culver Academies,78,1300 Academy Rd,Culver,IN,46511,41.2229218217504,-86.4066312763055
Culver Community,79,701 School St,Culver,IN,46511,41.2228036452029,-86.4244414153299
Manchester,80,1 Squire Drive,Manchester,IN,46962,41.0100313562167,-85.7719713687542
North Miami,81,570 East 900 North,Denver,"IN,",46926,40.8954201321646,-86.0647187202794
Plymouth,82,1 Big Red Dr,Plymouth,IN,46563,41.3461271228912,-86.3046148478057
Rochester Community,83,1645 S Park Rd,Rochester,IN,46975,41.0571227594599,-86.2254973562135
Tippecanoe Valley,84,8345 State Rte 19,Akron,IN,46910,41.1136022681192,-86.038323274193
Triton,85,300 Triton Dr,Bourbon,IN,46504,41.2996701815194,-86.1097186012238
Warsaw Community,86,1 Tiger Ln,Warsaw,IN,46580,41.2231170362719,-85.8627231677638
Carroll (Flora),87,2362 IN-18,Flora,IN,46929,40.5467828674084,-86.4796918181818
Cass,88,6422 IN-218,Walton,IN,46994,40.6636528674084,-86.2494339622641
Eastern (Greentown),89,421 S Harrison St,Greentown,IN,46936,40.4736344546529,-85.9705642102016
Kokomo,90,2501 S Berkley Rd,Kokomo,IN,46902,40.45606,-86.1557102232966
Logansport,91,1 Berry Ln,Logansport,IN,46947,40.7526476939512,-86.3326421949238
Maconaquah,92,200 E 800 S,Bunker Hill,IN,46914,40.6505271290302,-86.0661786973493
Northwestern,93,3431 County Rd N 400 W,Kokomo,IN,46901,40.5315800753102,-86.2033657083769
Peru,94,401 N Broadway,Peru,IN,46970,40.7604003756179,-86.0733846132408
Pioneer,95,417 N Chicago St,Royal Center,IN,46978,40.8684606912944,-86.5040718396439
Taylor,96,3794 300 S,Kokomo,IN,46902,40.4343952187677,-86.0549323421638
Western,97,2600 County Rd S 600 W,Russiaville,IN,46979,40.4366930301618,-86.2426452444866
Winamac Community,98,715 School Dr,Winamac,IN,46996,41.0459537561529,-86.5969743277036
Bremen,99,511 W Grant St,Bremen,IN,46506,41.4432066264081,-86.1513149860687
Glenn,100,201 John Glenn Dr,Walkerton,IN,46574,41.4584371325916,-86.47929
LaVille,101,69969 U S 31,Lakeville,IN,46536,41.4783660206555,-86.3022764261957
Mishawaka,102,1202 Lincolnway E,Mishawaka,IN,46544,41.6620891184571,-86.1604398006255
Mishawaka Marian,103,1311 S Logan St,Mishawaka,IN,46544,41.6490629333333,-86.1965435214351
Penn,104,56100 N Bittersweet Rd,Mishawaka,IN,46545,41.6794421319082,-86.109411107846
South Bend Adams,105,808 Twyckenham Dr,South Bend,IN,46615,41.6672154479786,-86.2253975887359
South Bend Career Academy,106,3801 Crescent Cir,South Bend,IN,46628,41.7280295933413,-86.3304781939317
South Bend Clay,107,19131 Darden Rd,South Bend,IN,46637,41.7304871325916,-86.2381367346939
South Bend Riley,108,1902 S Fellows Street,South Bend,IN,46613,41.65398,-86.2442164645558
South Bend St Joseph,109,453 N Notre Dame Ave,South Bend,IN,46617,41.6815655986164,-86.2386468154534
South Bend Washington,110,4747 W Washington St,South Bend,IN,46619,41.6742771325916,-86.314183833589
